,Unnamed: 0,Unnamed: 1,Traducción,Infinitivo,Pasado,Participio
0,1,,surgir,arise,arose,arisen
1,2,,despertar(se),awake,awoke,awoken
2,3,,soportar,bear,bore,borne
3,4,,golpear,beat,beat,beaten
4,5,,convertirse en,become,became,become
5,6,,empezar,begin,began,begun
6,7,,doblar(se),bend,bent,bent
7,8,,apostar,bet,bet,bet
8,9,,pujar,bid,bid,bid
9,10,,encuadernar,bind,bound,bound
10,11,,morder,bite,bit,bitten
11,12,,sangrar,bleed,bled,bled
12,13,,soplar,blow,blew,blown
13,14,,romper,break,broke,broken
14,15,,criar,breed,bred,bred
15,16,,traer,bring,brought,brought
16,17,,construir,build,built,built
17,18,,quemar(se),burn,burnt,burnt
18,19,,estallar,burst,burst,burst
19,20,,comprar,buy,bought,bought
20,21,,tirar,cast,cast,cast
21,22,,coger,catch,caught,caught
22,23,,elegir,choose,chose,chosen
23,24,,aferrarse,cling,clung,clung
24,25,,venir,come,came,come
25,26,,costar,cost,cost,cost
26,27,,arrastrar,creep,crept,crept
27,28,,cortar,cut,cut,cut
28,29,,tratar,deal,dealt,dealt
29,30,,cavar,dig,dug,dug
30,31,,hacer,do,did,done
31,32,,dibujar,draw,drew,drawn
32,33,,soñar,dream,dreamt,dreamt
33,34,,beber,drink,drank,drunk
34,35,,conducir,drive,drove,driven
35,36,,comer,eat,ate,eaten
36,37,,caer(se),fall,fell,fallen
37,38,,alimentar,feed,fed,fed
38,39,,sentirse,feel,felt,felt
39,40,,pelearse,fight,fought,fought
40,41,,encontrar,find,found,found
41,42,,huir,flee,fled,fled
42,43,,volar,fly,flew,flown
43,44,,prohibir,forbid,forbade,forbidden
44,45,,olvidar(se),forget,forgot,forgotten
45,46,,perdonar,forgive,forgave,forgiven
46,47,,helar(se),freeze,froze,frozen
47,48,,conseguir,get,got,got
48,49,,dar,give,gave,given
49,50,,irse,go,went,gone
50,51,,moler,grind,ground,ground
51,52,,crecer,grow,grew,grown
52,53,,colgar,hang,hung,hung
53,54,,"haber, tener",have,had,had
54,55,,escuchar,hear,heard,heard
55,56,,esconder(se),hide,hid,hidden
56,57,,golpear,hit,hit,hit
57,58,,agarrar(se),hold,held,held
58,59,,hacer daño,hurt,hurt,hurt
59,60,,guardar,keep,kept,kept
60,61,,arrodillarse,kneel,knelt,knelt
61,62,,"saber, conocer",know,knew,known
62,63,,poner,lay,laid,laid
63,64,,llevar,lead,led,led
64,65,,apoyarse,lean,leant,leant
65,66,,brincar,leap,leapt,leapt
66,67,,aprender,learn,learnt,learnt
67,68,,dejar,leave,left,left
68,69,,prestar,lend,lent,lent
69,70,,permitir,let,let,let
70,71,,echarse,lie,lay,lain
71,72,,encender(se),light,lit,lit
72,73,,perder,lose,lost,lost
73,74,,hacer,make,made,made
74,75,,significar,mean,meant,meant
75,76,,encontrar(se),meet,met,met
76,77,,vencer,overcome,overcame,overcome
77,78,,pagar,pay,paid,paid
78,79,,poner,put,put,put
79,80,,leer,read,read,read
80,81,,montar,ride,rode,ridden
81,82,,sonar,ring,rang,rung
82,83,,levantarse,rise,rose,risen
83,84,,correr,run,ran,run
84,85,,serrar,saw,sawed,sawn
85,86,,decir,say,said,said
86,87,,ver,see,saw,seen
87,88,,buscar,seek,sought,sought
88,89,,vender(se),sell,sold,sold
89,90,,enviar,send,sent,sent
90,91,,poner,set,set,set
91,92,,coser,sew,sewed,sewn
92,93,,agitar,shake,shook,shaken
93,94,,brillar,shine,shone,shone
94,95,,disparar,shoot,shot,shot
95,96,,mostrar,show,showed,shown
96,97,,encoger(se),shrink,shrank,shrunk
97,98,,cerrar(se),shut,shut,shut
98,99,,cantar,sing,sang,sung
99,100,,hundir(se),sink,sank,sunk
